network_type,analysis_type,subdomain,count,mean,std,var,min,max,median,q25,q75,start_date,end_date
external,response,bpgi,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,hbp,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,ronbun-juri,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,deaf-s,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,hcs,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,mics,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,humcul,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,kc,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,is,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,msc,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,elementary-s,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,inf,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
